Size,PriceTotal,Deposit,OnlineSince,Adress,AmountofIcons,AmountofIconsNeeded,Titel_length,analysis_det,analysis_desr,analysis_desl,analysis_deso
11,544,1158,1.0,1,7,3,41,0.0,-0.9186,0.0,-0.765
14,960,0,168.0,2,4,0,70,0.0,-0.9761,0.0,0.0
68,922,1383,168.0,4,3,0,27,0.0,0.0,0.0,-0.9545
89,1041,1561,168.0,2,3,0,27,0.0,-0.9184,0.0,-0.9545
92,1120,1680,168.0,2,3,0,27,0.0,-0.5994,0.0,-0.9545
80,1200,1800,168.0,2,3,0,27,0.0,-0.9184,0.0,-0.9545
16,1200,0,168.0,2,4,0,71,0.0,-0.9661,0.0,0.0
15,480,480,1.0,83527,12,2,45,0.0,-0.959,-0.9382,0.0
15,700,2163,1.0,2,11,3,42,0.0,-0.9595,-0.5994,-0.6688
22,835,0,1.0,4,6,3,90,0.0,0.34,-0.7263,0.0
20,310,500,1.0,4,7,0,32,0.0,-0.9854,-0.8316,-0.9661
15,700,700,1.0,3,10,2,82,0.4588,-0.2263,0.0,0.9158
11,770,1788,1.0,4,9,2,29,0.4588,0.7964,0.5499,0.9107
25,990,0,1.0,4,13,2,91,0.4588,0.9936,0.0,0.0
14,820,1890,1.0,82152,11,2,51,0.0,0.0,0.0,-0.9643
22,350,1000,1.0,4,11,4,34,0.0,-0.9509,-0.9136,-0.7044
11,750,1950,1.0,3,11,6,48,0.0,-0.9153,0.0,0.0
13,670,1500,1.0,1,12,3,45,0.0,-0.5994,-0.2263,-0.5994
20,1300,2700,1.0,4,1,7,41,0.0,0.0,0.0,-0.8316
10,770,2100,1.0,2,11,7,50,0.4588,-0.6249,0.9228,0.9444
17,150,0,1.0,3,2,3,42,0.0,0.4588,0.0,0.0
22,1190,1050,1.0,5,7,4,62,0.0,-0.5994,-0.9485,-0.8316
15,650,1500,1.0,2,11,0,52,0.4588,-0.5994,-0.5423,-0.5994
18,920,0,1.0,4,2,3,32,0.0,-0.9246,0.8268,0.0
15,740,1900,1.0,2,9,3,79,0.0,-0.9348,-0.9817,0.0
20,1190,1050,1.0,5,7,4,62,0.0,-0.5994,-0.9485,-0.8316
20,700,1200,1.0,4,5,4,24,0.0,-0.8126,-0.2263,0.4588
106,1220,1830,168.0,2,3,0,27,0.0,-0.5994,0.0,-0.9545
163,1169,1753,168.0,2,3,0,27,0.0,-0.9184,0.0,-0.9545
13,930,0,24.0,3,4,0,63,0.0,-0.9823,0.0,0.0
13,900,0,192.0,2,4,0,70,0.0,-0.9761,0.0,0.0
75,1150,1725,168.0,2,3,0,27,0.0,-0.5994,0.0,-0.9545
40,800,0,1.0,83646,13,3,222,0.0,-0.89,-0.7319,0.0
17,790,0,1.0,4,11,0,23,0.0,-0.8519,-0.2263,0.4588
11,750,1300,1.0,1,8,0,41,0.4588,-0.9769,-0.2263,0.0
12,610,1500,1.0,3,2,3,30,0.0,-0.4404,0.9577,0.0
22,880,1500,1.0,2,8,0,55,0.4588,-0.9184,-0.2263,0.0
16,929,2418,1.0,3,10,0,63,0.0,-0.9978,0.0,0.0
20,750,1400,1.0,2,8,2,65,0.4588,-0.8316,0.5994,-0.3818
14,275,525,1.0,2,9,0,83,0.0,0.0,0.0,0.0
11,790,1580,1.0,2,9,0,25,0.4588,-0.6908,0.0,0.0
12,790,1580,1.0,2,9,0,33,0.4588,-0.6908,0.0,0.0
20,730,700,1.0,4,11,3,62,0.0,-0.8316,0.0,-0.8126
16,750,0,1.0,1,9,2,24,0.0,0.0,0.6114,-0.8126
16,360,550,1.0,4,9,0,30,0.0,-0.9538,-0.9184,0.636
14,230,550,1.0,5,10,0,36,0.0,-0.9652,-0.9184,0.636
16,900,0,1.0,3,7,3,74,0.0,0.9937,0.0,0.0
12,790,990,1.0,2,10,2,44,0.0,-0.9647,0.0,0.0
14,895,1500,1.0,3,8,3,107,0.4588,-0.9396,0.6239,0.7783
8,890,2670,1.0,4,7,3,30,0.0,0.8246,-0.0516,0.0
12,610,1530,1.0,4,8,3,64,0.0,-0.9823,-0.8316,0.0
18,870,0,24.0,2,4,0,70,0.0,-0.9761,0.0,0.0
108,1150,1000,168.0,2,3,0,50,0.0,0.0,0.0,-0.9783
103,1160,1000,168.0,4,4,0,67,0.0,0.0,0.0,-0.9783
87,770,1155,168.0,4,3,0,27,0.0,0.0,0.0,-0.9545
20,870,0,24.0,4,4,0,62,0.0,-0.9761,0.0,0.0
92,1064,1596,168.0,2,3,0,27,0.0,-0.5994,0.0,-0.9545
15,775,2070,1.0,1,11,5,52,0.0,-0.5255,0.0,0.0
10,750,1000,1.0,4,8,5,78,0.0,0.0,0.3382,0.5093
17,710,1400,1.0,3,12,5,35,0.0,-0.9643,0.0,-0.9136
10,710,1875,24.0,2,11,3,52,0.0,-0.5255,0.0,0.0
21,1150,1020,24.0,5,7,4,62,0.0,-0.5994,-0.5994,-0.8316
18,750,1400,24.0,2,12,5,51,0.0,-0.8885,-0.8316,0.0
12,390,1050,24.0,4,4,6,40,0.0,0.0,0.0,0.0
13,745,1980,1.0,2,12,5,52,0.0,-0.5255,0.0,0.0
10,900,1500,24.0,3,10,3,48,0.4588,-0.7506,-0.8885,-0.5994
20,950,1400,24.0,2,10,4,48,0.0,-0.9117,0.0,0.0
15,845,2235,24.0,2,10,3,35,0.0,0.0,-0.9117,0.0
15,800,1800,24.0,3,6,7,44,0.0,-0.8126,0.0,0.0
11,690,1200,24.0,1,10,0,55,0.0,0.8591,0.4939,0.0
30,850,2500,24.0,2,11,2,40,0.0,-0.9246,-0.9451,0.0
9,600,500,24.0,85435,8,0,44,0.0,-0.9669,-0.8316,0.0
16,790,1580,24.0,4,8,2,20,0.0,-0.8316,0.0,0.0
12,700,700,24.0,2,13,2,70,0.4588,-0.9657,-0.9136,-0.7003
15,750,900,24.0,2,11,7,51,0.0,-0.9643,0.0,-0.636
16,575,300,24.0,2,3,0,36,0.0,0.0,0.1531,0.0
28,895,1000,24.0,2,11,7,45,0.0,-0.9643,0.0,0.0
